ID_ARTICOLO;CODICE_ART;NOME_ARTICOLO;NOME_BRAND;MADE_IN;COMPOSIZIONE;TAGLIA;PREZZO_UNITARIO
1;20002Z001;T-shirt shark;palm angels;china;cotone;S;44.50
2;20002Z002;T-shirt shark;palm angels;china;cotone;M;44.50
3;20002Z003;T-shirt shark;palm angels;china;cotone;L;44.50
4;20002Z004;T-shirt teddy;dor bell;italy;cotone;S;44.50
5;20002Z005;T-shirt teddy;dor bell;italy;cotone;M;44.50
6;20002Z006;T-shirt teddy;dor bell;italy;cotone;L;44.50
7;20002Z007;Pantalone svasato;etro;filippine;cotone;40;70.90
8;20002Z008;Pantalone svasato;etro;filippine;cotone;41;70.90
9;20002Z009;Pantalone svasato;etro;filippine;cotone;42;70.90
10;20002Z010;Pantalone svasato;etro;filippine;cotone;43;70.90
11;20002Z011;Pantalone svasato;etro;filippine;cotone;44;70.90
12;20002Z012;pantalone disco;etro;china;cotone;40;432.20
13;20002Z013;pantalone disco;etro;china;cotone;41;432.20
14;20002Z014;pantalone disco;etro;china;cotone;42;432.20
15;20002Z015;pantalone disco;etro;china;cotone;43;432.20
16;20002Z016;pantalone disco;etro;china;cotone;44;432.20
17;20002Z017;top trendy;etro;filippine;cotone;S;132.90
18;20002Z018;top trendy;etro;filippine;cotone;M;132.90
19;20002Z019;top trendy;etro;filippine;cotone;L;132.90
20;20002Z020;short bently;etro;bangladesh;lana;36;150.80
21;20002Z021;short bently;etro;bangladesh;lana;37;150.80
22;20002Z022;short bently;etro;bangladesh;lana;38;150.80
23;20002Z023;short bently;etro;bangladesh;lana;40;150.80
24;20002Z024;short bently;etro;bangladesh;lana;41;150.80
25;20002Z025;short bently;etro;bangladesh;lana;42;150.80
26;20002Z026;short bugatti;etro;filippine;lana;36;150.80
27;20002Z027;short bugatti;etro;filippine;lana;37;150.80
28;20002Z028;short bugatti;etro;filippine;lana;38;150.80
29;20002Z029;short mclaren;etro;china;lana;40;150.80
30;20002Z030;short bugatti;etro;filippine;lana;41;150.80
31;20002Z031;short bugatti;etro;filippine;lana;42;3
32;20002Z032;short mclaren;etro;china;lana;36;150.80
33;20002Z033;short mclaren;etro;china;lana;37;150.80
34;20002Z034;short mclaren;etro;china;lana;38;150.80
35;20002Z035;short mclaren;etro;china;lana;40;150.80
36;20002Z036;short mclaren;etro;china;lana;41;150.80
37;20002Z037;short mclaren;etro;china;lana;42;150.80
38;20002Z038;giacca odc;44 label;bangladesh;materiale sintetico;XS;700.99
39;20002Z039;giacca odc;44 label;bangladesh;materiale sintetico;S;700.99
40;20002Z040;giacca odc;44 label;bangladesh;materiale sintetico;M;700.99
41;20002Z041;giacca odc;44 label;bangladesh;materiale sintetico;L;700.99
42;20002Z042;giacca odc;44 label;bangladesh;materiale sintetico;XL;700.99
43;20002Z043;completo elegante;tagliatore;filippine;materiale sintetico;S;1220.44
44;20002Z044;completo elegante;tagliatore;filippine;materiale sintetico;M;1220.44
45;20002Z045;completo elegante;tagliatore;filippine;materiale sintetico;L;1220.44
46;20002Z046;t-shirt discordia;44 label;bangladesh;cotone;S;32.99
47;20002Z047;t-shirt discordia;44 label;bangladesh;cotone;M;32.99
48;20002Z048;t-shirt discordia;44 label;bangladesh;cotone;L;32.99
49;20002Z049;leggins crystel;mm6;repubblica cieca;materiale sintetico;24;160.60
50;20002Z050;leggins crystel;mm6;repubblica cieca;materiale sintetico;35;160.60
51;20002Z051;sneakers dunk;nike;repubblica cieca;pelle;40;120.60
52;20002Z052;sneakers dunk;nike;repubblica cieca;pelle;41;120.60
53;20002Z053;sneakers dunk;nike;repubblica cieca;pelle;42;120.60
54;20002Z054;sneakers dunk;nike;repubblica cieca;pelle;43;120.60
55;20002Z055;sneakers dunk;nike;repubblica cieca;pelle;44;120.60
56;20002Z056;sneakers 550;new balance;filippine;pelle;40;170.70
57;20002Z057;sneakers 550;new balance;filippine;pelle;41;170.70
58;20002Z058;sneakers 550;new balance;filippine;pelle;42;170.70
59;20002Z059;sneakers 550;new balance;filippine;pelle;43;170.70
60;20002Z060;sneakers 550;new balance;filippine;pelle;44;170.70
61;20002Z061;sneakers master;wushu;repubblica cieca;pelle;40;190.55
62;20002Z062;sneakers master;wushu;repubblica cieca;pelle;41;190.55
63;20002Z063;sneakers master;wushu;repubblica cieca;pelle;42;190.55
64;20002Z064;sneakers master;wushu;repubblica cieca;pelle;43;190.55
65;20002Z065;sneakers master;wushu;repubblica cieca;pelle;44;190.55
66;20002Z066;stivali trakking;roa;china;pelle;40;230.30
67;20002Z067;stivali trakking;roa;china;pelle;41;230.30
68;20002Z068;stivali trakking;roa;china;pelle;42;230.30
69;20002Z069;stivali trakking;roa;china;pelle;43;230.30
70;20002Z070;stivali trakking;roa;china;pelle;44;230.30
71;20002Z071;gonna midi tek;off-white;repubblica cieca;mohair;M;500.40
72;20002Z072;abito sofia;marni;filippine;mohair;S;340.10
73;20002Z073;abito elene;marni;repubblica cieca;mohair;S;320.30
74;20002Z074;slip greca;versace;italy;seta/cotone;UNI;290.60
75;20002Z075;boxer greca;versace;italy;seta/cotone;UNI;290.60
76;20002Z076;bracciale medusa;versace;italy;metallo;UNI;360.99
77;20002Z077;collana medusa;versace;italy;metallo;UNI;490.80
78;20002Z078;abito di seta;tom ford;china;seta;M;1300.12
79;20002Z079;cappellino shark;palm angels;repubblica cieca;cotone;UNI;120.39
80;20002Z080;pochette 001;sprayground;repubblica cieca;pelle;UNI;100.99
81;20002Z081;zaino 001;sprayground;china;pelle;UNI;140.90
82;20002Z082;t-shirt action figure;sprayground;repubblica cieca;cotone;M;60.90
83;20002Z083;jeans demin;dickies;china;cotone;S;450.90
84;20002Z084;giacca demin;dickies;;cotone;L;600.90
